timestamps,pupil_size_left,pupil_size_right
59298.74721060443,2.4663544,2.5329437
59298.74887727388,2.452652,2.543045
59298.75054394333,2.458313,2.5687714
59298.75221061278,2.4555054,2.5461578
59298.75387728223,2.4652252,2.5398712
59298.75554395168,2.4517822,2.534546
59298.75721062113,2.4490814,2.529663
59298.75887729059,2.4599457,2.5409698
59298.76054396004,2.4542847,2.5512238
59298.76221062949,2.4532166,2.559845
59298.76387729894,2.4617462,2.5431213
59298.76554396839,2.4628906,2.543686
59298.76721063784,2.4723663,2.555542
59298.76887730729,2.463211,2.5371857
59298.77054397674,2.4607086,2.5478668
59298.77221064619,2.4559174,2.56456
59298.77387731564,2.4601593,2.551773
59298.77554398509,2.4592896,2.5518951
59298.77721065454,2.4584808,2.557251
59298.77887732399,2.457077,2.5411682
59298.78054399344,2.45932,2.538391
59298.78221066289,2.4568634,2.567398
59298.78387733234,2.4551544,2.551834
59298.78554400179,2.4540863,2.5499573
59298.78721067124,2.4598541,2.55719
59298.78887734069,2.4573364,2.5510254
59298.790544010146,2.4609985,2.548767
59298.792210679596,2.4590302,2.5590363
59298.793877349046,2.451538,2.557785
59298.795544018496,2.4554443,2.5682526
59298.797210687946,2.4618073,2.5578613
59298.798877357396,2.4612274,2.5562134
59298.800544026846,2.4698792,2.5540466
59298.802210696296,2.4600983,2.5586853
59298.803877365746,2.468216,2.574463
59298.8055440352,2.5093994,
59298.80721070465,2.467636,2.5608215
59298.8088773741,2.4710846,2.5634003
59298.81054404355,2.4680634,2.5604248
59298.812210713,2.4659882,2.5608826
59298.81387738245,2.4675446,2.5511932
59298.8155440519,2.4597168,2.5586395
59298.81721072135,2.4735718,2.561676
59298.8188773908,2.475174,2.569046
59298.820544060254,2.480484,2.5503235
59298.822210729704,2.4720306,2.545578
59298.823877399154,2.4740448,2.5631256
59298.825544068604,2.4731903,2.5688324
59298.827210738054,2.4794312,2.569931
59298.828877407504,2.4667053,2.581009
59298.830544076955,2.470398,2.5585938
59298.832210746405,2.4737244,2.5627441
59298.833877415855,2.4763947,2.5737
59298.835544085305,2.4745026,2.5670776
59298.837210754755,2.4803925,2.5692902
59298.838877424205,2.4786682,2.565445
59298.840544093655,2.4679718,2.5658875
59298.842210763105,2.473999,2.5782623
59298.843877432555,2.4775085,2.5722961
59298.845544102005,2.4672394,2.569275
59298.847210771455,2.4712677,2.5640564
59298.848877440905,2.4771729,2.577942
59298.85054411036,2.4723969,2.5785828
59298.85221077981,2.479248,2.5584717
59298.85387744926,2.4864502,2.561615
59298.85554411871,2.4799805,2.582901
59298.85721078816,,
59298.85887745761,,2.5833435
59298.86054412706,2.479126,2.57164
59298.86221079651,2.4754333,2.5575562
59298.86387746596,2.486267,2.5638428
59298.86554413541,2.474411,2.569336
59298.86721080486,2.4806976,2.5567474
59298.86887747431,2.4824066,2.5831146
59298.87054414376,2.4808502,2.575821
59298.87221081321,2.4757538,2.574295
59298.87387748266,2.4767761,2.5611877
59298.87554415211,2.4857483,2.5666199
59298.87721082156,2.4866028,2.5679321
59298.87887749101,2.4823608,2.5889587
59298.88054416046,2.4828033,2.5730133
59298.88221082992,2.4848938,2.589798
59298.88387749937,2.491333,2.5798645
59298.88554416882,2.495514,2.5736542
59298.88721083827,2.4972534,2.5673523
59298.88887750772,2.4837952,2.5703583
59298.89054417717,2.4879913,2.5572205
59298.89221084662,2.4881897,2.5622253
59298.89387751607,2.4840698,2.5746918
59298.89554418552,2.490509,2.5746155
59298.89721085497,2.489624,2.5786438
59298.89887752442,2.4852753,2.5858612
59298.90054419387,2.479416,2.562561
59298.90221086332,2.4906921,2.5776062
59298.90387753277,2.4954224,2.5811768
59298.90554420222,2.503601,2.5726929
59298.90721087167,2.4826202,2.5832062
59298.90887754112,2.5436554,
59298.91054421057,2.4882355,2.5738373
59298.91221088003,2.5047607,2.5755005
59298.91387754948,2.488968,2.5799255
59298.91554421893,2.5001984,2.5792236
59298.91721088838,2.4908752,2.5776367
59298.91887755783,2.4929504,2.5894775
59298.92054422728,2.4993286,2.5727386
59298.92221089673,2.4929657,2.5844421
59298.92387756618,2.4951324,2.586029
59298.92554423563,2.4992523,2.5773315
59298.92721090508,2.4928436,2.5881195
59298.92887757453,2.4982605,2.5810547
59298.93054424398,2.5023804,2.5766296
59298.93221091343,2.5005035,2.5763855
59298.93387758288,2.544464,
59298.93554425233,2.500702,2.5854034
59298.93721092178,2.5102386,2.5918121
59298.93887759123,2.5026855,2.584137
59298.94054426068,2.4998322,2.5871582
59298.94221093014,2.5061798,2.579422
59298.94387759959,2.4970856,2.580246
59298.94554426904,2.506134,2.5907135
59298.94721093849,2.499054,2.583084
59298.94887760794,2.5076904,2.5864563
59298.95054427739,2.492096,2.593521
59298.95221094684,2.5029907,2.588028
59298.95387761629,2.4954376,2.5781555
59298.95554428574,2.5059204,2.5778503
59298.95721095519,2.512207,2.5761871
59298.95887762464,2.502884,2.5922852
59298.96054429409,2.5003052,2.597458
59298.96221096354,2.5111847,2.597107
59298.96387763299,2.505005,2.5741425
59298.96554430244,2.5400848,
59298.96721097189,2.504486,2.5962067
59298.96887764134,2.509491,2.5968933
59298.97054431079,2.511673,2.5923615
59298.972210980246,2.5059814,2.590744
59298.973877649696,2.4982605,2.586258
59298.975544319146,2.513031,2.57872
59298.977210988596,2.5111542,2.5933685
59298.978877658046,2.494873,2.585968
59298.980544327496,2.512848,2.569809
59298.98221099695,2.5112,2.5703583
59298.9838776664,2.5143433,2.5777893
59298.98554433585,2.5147552,2.5704803
59298.9872110053,2.5147705,2.5661774
59298.98887767475,2.5137177,2.5559692
59298.9905443442,2.5041504,2.5593262
59298.99221101365,2.5099792,
59298.9938776831,2.517395,
59298.99554435255,2.5226746,
59298.997211022,2.5088806,
59298.99887769145,2.5139618,2.543213
59299.0005443609,2.505188,2.5623627
59299.00221103035,2.5146484,
59299.003877699804,2.5116425,2.554245
59299.005544369254,2.5194244,
59299.007211038705,2.5115204,2.5567932
59299.008877708155,2.5180206,
59299.010544377605,2.520279,
59299.012211047055,2.5153656,
59299.013877716505,2.5055084,
59299.015544385955,2.5142212,
59299.017211055405,2.5184174,
59299.018877724855,2.5142212,2.4774475
59299.020544394305,2.5116882,2.4922028
59299.022211063755,2.5182037,2.495697
59299.023877733205,2.525528,2.5040283
59299.025544402655,2.5075226,2.4756012
59299.027211072105,2.5136414,2.496643
59299.028877741555,2.508072,2.4891205
59299.030544411005,2.5023193,2.4875183
59299.032211080455,2.5151825,2.4960022
59299.03387774991,2.5160828,2.499878
59299.03554441936,2.5025177,2.482483
59299.03721108881,2.5068817,2.494751
59299.03887775826,2.5140686,2.4947357
59299.04054442771,2.5047607,2.488449
59299.04221109716,2.4884796,2.39563
59299.04387776661,2.4930878,2.396576
59299.04554443606,2.4869232,2.3901367
59299.04721110551,2.4838715,2.3989716
59299.04887777496,2.4957733,2.3931274
59299.05054444441,2.4829865,2.387329
59299.05221111386,2.5040894,2.4805908
59299.05387778331,2.508667,2.490921
59299.05554445276,2.512436,2.4892578
59299.05721112221,2.5102234,2.4800568
59299.058877791664,2.5024567,2.4884033
59299.060544461114,2.5172424,2.489563
59299.062211130564,2.5116577,2.4762573
59299.06387780002,2.501114,2.4725342
59299.06554446947,2.513443,2.4852753
59299.06721113892,,2.495819
59299.06887780837,2.4963074,2.4772491
59299.07054447782,2.5057678,2.4834137
59299.07221114727,2.493576,2.4769745
59299.07387781672,2.5031128,2.4743958
59299.07554448617,2.5032654,2.4775543
59299.07721115562,2.499649,2.464859
59299.07887782507,2.5028534,2.47583
59299.08054449452,2.4990845,2.4726257
59299.08221116397,2.492096,2.4757233
59299.08387783342,2.4970703,2.4852905
59299.08554450287,2.4967804,2.4843292
59299.08721117232,2.4970245,2.4785614
59299.08887784177,2.4895782,2.465393
59299.09054451122,2.4974213,2.4698029
59299.09221118067,2.4879303,2.4584198
59299.09387785013,2.4961548,2.4748535
59299.09554451958,2.4871063,2.4649048
59299.09721118903,2.484253,2.468399
59299.09887785848,2.4865265,2.463028
59299.10054452793,2.4857178,2.46669
59299.10221119738,2.4861908,2.460907
59299.10387786683,2.4835968,2.4663544
59299.10554453628,2.4899902,2.450821
59299.10721120573,2.4829407,2.4619446
59299.10887787518,2.486206,2.4631958
59299.11054454463,2.47937,2.4579926
59299.11221121408,2.488144,2.4651947
59299.11387788353,2.4785004,2.4722443
59299.11554455298,2.4859161,2.4614868
59299.11721122243,2.4746094,2.464508
59299.11887789188,2.6134186,2.4612732
59299.12054456133,2.4776,2.4649353
59299.12221123078,2.4781342,2.452713
59299.12387790023,2.4830627,2.4606476
59299.12554456969,2.473877,2.450058
59299.12721123914,2.4660797,2.4451141
59299.12887790859,2.4780731,2.4501648
59299.13054457804,2.4772034,2.4445496
59299.13221124749,2.4680939,2.4431
59299.13387791694,2.4749603,2.4595947
